iter	Passed	Remaining
319	3799	3324
320	3811	3313
321	3824	3302
322	3836	3290
323	3847	3277
324	3857	3264
325	3870	3252
326	3881	3240
327	3892	3228
328	3904	3216
329	3917	3204
330	3929	3193
331	3941	3181
332	3954	3170
333	3966	3159
334	3978	3146
335	3990	3135
336	4002	3123
337	4013	3110
338	4024	3098
339	4037	3087
340	4049	3075
341	4060	3062
342	4072	3051
343	4083	3038
344	4095	3026
345	4107	3015
346	4120	3004
347	4132	2992
348	4144	2980
349	4156	2969
350	4169	2957
351	4180	2945
352	4193	2934
353	4206	2922
354	4218	2911
355	4230	2899
356	4243	2888
357	4256	2877
358	4269	2865
359	4281	2854
360	4293	2842
361	4306	2831
362	4317	2819
363	4328	2806
364	4341	2795
365	4353	2783
366	4364	2771
367	4376	2759
368	4389	2748
369	4403	2737
370	4413	2724
371	4426	2712
372	4438	2701
373	4451	2689
374	4463	2677
375	4474	2665
376	4485	2653
377	4497	2641
378	4507	2628
379	4520	2616
380	4532	2605
381	4544	2593
382	4557	2581
383	4569	2570
384	4581	2558
385	4593	2546
386	4605	2534
387	4617	2523
388	4629	2510
389	4641	2499
390	4654	2487
391	4665	2475
392	4676	2463
393	4688	2451
394	4699	2439
395	4720	2431
396	4733	2420
397	4745	2408
398	4755	2395
399	4768	2384
400	4779	2372
401	4792	2360
402	4804	2348
403	4816	2336
404	4829	2325
405	4840	2312
406	4852	2301
407	4864	2289
408	4875	2276
409	4888	2265
410	4900	2253
411	4913	2242
412	4924	2229
413	4936	2217
414	4948	2205
415	4958	2193
416	4969	2180
417	4982	2169
418	4994	2157
419	5005	2145
420	5017	2133
421	5028	2120
422	5040	2109
423	5051	2096
424	5064	2085
425	5077	2073
426	5089	2062
427	5101	2050
428	5113	2038
429	5123	2025
430	5136	2014
431	5157	2005
432	5169	1993
433	5182	1982
434	5192	1969
435	5205	1957
436	5215	1945
437	5228	1933
438	5238	1921
439	5250	1909
440	5262	1897
441	5274	1885
442	5286	1873
443	5297	1861
444	5309	1849
445	5326	1839
446	5338	1827
447	5351	1815
448	5363	1803
449	5375	1791
450	5388	1780
451	5401	1768
452	5412	1756
453	5425	1744
454	5437	1732
455	5449	1720
456	5461	1708
457	5473	1696
458	5483	1684
459	5496	1672
460	5508	1660
461	5520	1648
462	5532	1637
463	5543	1624
464	5556	1613
465	5568	1601
466	5579	1589
467	5591	1577
468	5604	1565
469	5616	1553
470	5628	1541
471	5641	1529
472	5653	1518
473	5665	1506
474	5684	1495
475	5695	1483
476	5708	1471
477	5721	1460
478	5733	1448
479	5745	1436
480	5757	1424
481	5769	1412
482	5780	1400
483	5792	1388
484	5803	1376
485	5816	1364
486	5828	1352
487	5842	1340
488	5854	1329
489	5867	1317
490	5878	1304
491	5891	1293
492	5902	1280
493	5915	1269
494	5927	1257
495	5940	1245
496	5952	1233
497	5963	1221
498	5976	1209
499	5989	1197
500	6001	1185
501	6013	1173
502	6026	1162
503	6038	1150
504	6051	1138
505	6063	1126
506	6076	1114
507	6088	1102
508	6101	1090
509	6111	1078
510	6124	1066
511	6146	1056
512	6159	1044
513	6171	1032
514	6183	1020
515	6196	1008
516	6208	996
517	6221	984
518	6232	972
519	6244	960
520	6255	948
521	6268	936
522	6279	924
523	6292	912
524	6304	900
525	6317	888
526	6330	876
527	6341	864
528	6352	852
529	6364	840
530	6376	828
531	6389	816
532	6400	804
533	6412	792
534	6440	782
535	6452	770
536	6464	758
537	6476	746
538	6488	734
539	6500	722
540	6512	710
541	6524	698
542	6534	685
543	6546	673
544	6559	661
545	6571	649
546	6582	637
547	6592	625
548	6604	613
549	6615	601
550	6627	589
551	6639	577
552	6651	565
553	6663	553
554	6675	541
555	6687	529
556	6700	517
557	6712	505
558	6724	493
559	6737	481
560	6749	469
561	6762	457
562	6773	445
563	6785	433
564	6797	421
565	6808	408
566	6818	396
567	6830	384
568	6843	372
569	6855	360
570	6866	348
571	6879	336
572	6891	324
573	6903	312
574	6915	300
575	6926	288
576	6938	276
577	6951	264
578	6963	252
579	6974	240
580	6987	228
581	6999	216
582	7011	204
583	7023	192
584	7035	180
585	7045	168
586	7057	156
587	7069	144
588	7081	132
589	7093	120
590	7106	108
591	7117	96
592	7129	84
593	7141	72
594	7153	60
595	7164	48
596	7177	36
597	7189	24
598	7202	12
599	7214	0
