iter	Logloss
205	0.4967782505
206	0.4967669241
207	0.4967462385
208	0.4966935844
209	0.4966788058
210	0.4966476436
211	0.4965777766
212	0.4965666578
213	0.4965297361
214	0.49651573
215	0.4964823213
216	0.496455509
217	0.4964054664
218	0.496386496
219	0.4963698148
220	0.4963544116
221	0.4963339805
222	0.4963054465
223	0.4962874551
224	0.4962605339
225	0.4962392437
226	0.4962202452
227	0.4961848883
228	0.496162833
229	0.4961377358
230	0.4960820726
231	0.4960659088
232	0.4960387861
233	0.4960129422
234	0.4959821873
235	0.4959661093
236	0.4959070679
237	0.4958774764
238	0.4958580571
239	0.4958378764
240	0.4958162761
241	0.4957924156
242	0.4957633154
243	0.4956872657
244	0.4956635063
245	0.4956420727
246	0.4955889457
247	0.4955274714
248	0.4955092154
249	0.4954936297
250	0.4954690413
251	0.4954467227
252	0.4954039614
253	0.4953850802
254	0.4953674989
255	0.4953523611
256	0.4953115762
257	0.4952756781
258	0.4952290379
259	0.4952101837
260	0.4951903191
261	0.4951736389
262	0.4951498339
263	0.4951291529
264	0.4951131457
265	0.4950807301
266	0.4950544768
267	0.4950297271
268	0.4950073805
269	0.4949877701
270	0.4949634274
271	0.4949484258
272	0.4949328752
273	0.4948949341
274	0.4948822974
275	0.4948668026
276	0.4948479915
277	0.4948137425
278	0.4947998932
279	0.4947799678
280	0.4947618957
281	0.4947403301
282	0.4947240735
283	0.4947074982
284	0.4946939152
285	0.4946772573
286	0.4946639116
287	0.4946316072
288	0.4946154927
289	0.494599929
290	0.4945808891
291	0.494564559
292	0.4945448244
293	0.4945340338
294	0.4945206259
295	0.494504543
296	0.4944866768
297	0.4944736515
298	0.4944587937
299	0.4944459678
300	0.4944263618
301	0.4944155203
302	0.4944041243
303	0.4943921175
304	0.4943760139
305	0.4943627741
306	0.4943482952
307	0.4943347506
308	0.4943216226
309	0.4943082437
310	0.494293905
311	0.4942787961
312	0.4942666754
313	0.4942512957
314	0.494224061
315	0.4942129325
316	0.4941995848
317	0.494186089
318	0.4941621375
319	0.494148608
320	0.49413512
321	0.4941274573
322	0.494111817
323	0.4940931251
324	0.494083006
325	0.4940710263
326	0.4940582335
327	0.4940470164
328	0.4940334516
329	0.4940228714
330	0.4940111665
331	0.4939981365
332	0.4939845718
333	0.493971667
334	0.4939580255
335	0.4939484476
336	0.4939386021
337	0.4939289351
338	0.4939141609
339	0.4939032696
340	0.493886969
341	0.493874629
342	0.4938632381
343	0.4938429776
344	0.4938310964
345	0.4938208525
346	0.4938091693
347	0.4938004635
348	0.493789117
349	0.4937779576
350	0.4937692382
351	0.4937581911
352	0.4937486814
353	0.4937368341
354	0.4937247679
355	0.4937121056
356	0.4937006213
357	0.4936931651
358	0.4936831501
359	0.4936749174
360	0.4936630411
361	0.4936522167
362	0.4936429689
363	0.4936344805
364	0.4936216503
365	0.4936097332
366	0.4935972939
367	0.4935793487
368	0.4935658367
369	0.4935544058
370	0.4935367995
371	0.4935258398
372	0.4935090346
373	0.4934968321
374	0.4934854058
375	0.493471578
376	0.4934628306
377	0.4934541856
378	0.4934481275
379	0.493434067
380	0.4934256839
381	0.4934145563
382	0.4934043605
383	0.4933923036
384	0.493383226
385	0.4933726448
386	0.4933632984
387	0.4933557358
388	0.4933427114
389	0.4933283375
390	0.4933181943
391	0.4933081406
392	0.4932965217
393	0.4932849753
394	0.4932697633
395	0.4932633123
396	0.4932490843
397	0.4932383519
398	0.4932223059
399	0.4932117647
400	0.4932039061
401	0.4931920281
402	0.4931767553
403	0.4931657085
404	0.493156539
405	0.4931456524
406	0.4931370116
407	0.4931270069
408	0.4931115171
409	0.4931004133
410	0.4930928893
411	0.493086596
412	0.4930758467
413	0.4930615284
414	0.4930520694
415	0.4930443893
416	0.4930369877
417	0.4930217796
418	0.4930095065
419	0.4929991189
420	0.4929913009
421	0.4929835896
422	0.4929765493
423	0.492966516
424	0.49295376
425	0.4929450528
426	0.4929381986
427	0.4929271909
428	0.4929181116
429	0.4929076695
430	0.492898055
431	0.4928840246
432	0.4928757916
433	0.492863075
434	0.49284578
435	0.4928357454
436	0.4928288481
437	0.492819249
438	0.4928113569
439	0.4928007435
440	0.4927918311
441	0.4927799673
442	0.4927731834
443	0.4927655461
444	0.4927550925
445	0.4927456576
446	0.4927369451
447	0.4927270232
448	0.4927189632
449	0.4927111941
450	0.4927013451
451	0.492687159
452	0.4926753693
453	0.492665941
454	0.4926563028
455	0.4926426622
456	0.492634028
457	0.4926242095
458	0.4926157614
459	0.4926064684
460	0.4925969042
461	0.4925871551
462	0.4925750901
463	0.4925657072
464	0.4925515832
465	0.4925377951
466	0.492526198
467	0.4925173208
468	0.4925050335
469	0.4924935222
470	0.4924839711
471	0.4924772488
472	0.4924708327
473	0.4924590605
474	0.4924496058
475	0.4924348662
476	0.4924240042
477	0.4924143668
478	0.4924069867
479	0.4923961694
480	0.4923841621
481	0.4923750799
482	0.4923656898
483	0.492354854
484	0.4923440966
485	0.4923334562
486	0.4923225854
487	0.4923154991
488	0.4923060234
489	0.4922962968
490	0.4922873661
491	0.4922765656
492	0.4922660235
493	0.4922563104
494	0.4922475413
495	0.4922366936
496	0.4922289511
497	0.4922197255
498	0.4922108821
499	0.4922032204
500	0.492192877
501	0.4921832686
502	0.4921722572
503	0.4921640391
504	0.4921541979
505	0.4921468905
506	0.4921372758
507	0.4921275294
508	0.4921168212
509	0.492108914
510	0.4920998724
511	0.492088778
512	0.4920804443
513	0.4920726528
514	0.4920637689
515	0.4920582915
516	0.4920493966
517	0.4920407138
518	0.4920345921
519	0.4920274459
520	0.4920161472
521	0.4920060821
522	0.4919971573
523	0.4919890119
524	0.4919807719
525	0.491971075
526	0.4919615395
527	0.491955174
528	0.4919490333
529	0.4919432811
530	0.4919328529
531	0.491924948
532	0.4919189536
533	0.4919107209
534	0.4919011324
535	0.4918932703
536	0.4918824585
537	0.4918753266
538	0.4918675028
539	0.4918572794
540	0.4918504942
541	0.4918433839
542	0.4918332403
543	0.4918233745
544	0.4918128671
545	0.4918059865
546	0.4917984365
547	0.4917927354
548	0.4917848689
549	0.4917760032
550	0.4917672374
551	0.4917614241
552	0.4917513381
553	0.4917439883
554	0.4917366632
555	0.4917297207
556	0.4917215742
557	0.4917140046
558	0.4917061986
559	0.4916991379
560	0.4916912424
561	0.4916831641
562	0.4916756063
563	0.4916667336
564	0.4916607041
565	0.4916524313
566	0.4916462037
567	0.4916361861
568	0.4916276119
569	0.4916211026
570	0.4916080898
571	0.4915964745
572	0.4915874531
573	0.4915796691
574	0.4915714004
575	0.4915637234
576	0.4915561712
577	0.4915476864
578	0.4915415749
579	0.4915338999
580	0.4915228836
581	0.4915137138
582	0.4915057989
583	0.4914977967
584	0.4914899909
585	0.4914802928
586	0.491472026
587	0.4914637488
588	0.4914549031
589	0.4914482297
590	0.4914409168
591	0.4914323717
592	0.4914233853
593	0.4914134955
594	0.4914048951
595	0.4913994873
596	0.4913842269
597	0.491374329
598	0.4913687485
599	0.491359638
