Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Mean CV F1,Std CV F1
MLP,0.7563611397185033,0.7582882610865815,0.7563611397185033,0.7559060479690922,0.8349192196464222,0.756476081343184,0.0011473846756598232
Logistic Regression,0.7497425334706488,0.7501171769872187,0.7497425334706488,0.7496488847008933,0.8264028476254502,0.7501327921920178,0.0015730403789165198
Random Forest,0.7562100926879506,0.7580039815413306,0.7562100926879506,0.755785795505161,0.834122091816659,0.7560906052282343,0.0016734685540134462
CatBoost,0.7579539993134226,0.7596066299282218,0.7579539993134226,0.757568369318148,0.8358988925006017,0.7581191598296236,0.0016642994718448038
LightGBM,0.7571850326124271,0.7588787234974804,0.7571850326124271,0.7567874312244233,0.835450703062661,0.7576601814932002,0.001490385828299134
XGBoost,0.75693786474425,0.7589696105976006,0.75693786474425,0.756460409053802,0.8353496535749765,0.7575045267856929,0.001400996794487201
